promotion_id,promotion_name,category_id,start_date,end_date,discount_depth
1,Promo 01,50,2026-01-01,2026-01-07,0.25
2,Promo 02,50,2026-01-15,2026-01-21,0.15
3,Promo 03,20,2026-01-29,2026-02-04,0.2
4,Promo 04,50,2026-02-12,2026-02-18,0.2
5,Promo 05,50,2026-02-26,2026-03-04,0.25
6,Promo 06,40,2026-03-12,2026-03-18,0.25
7,Promo 07,50,2026-03-26,2026-04-01,0.1
8,Promo 08,50,2026-04-09,2026-04-15,0.15
9,Promo 09,40,2026-04-23,2026-04-29,0.2
10,Promo 10,20,2026-05-07,2026-05-13,0.15
11,Promo 11,50,2026-05-21,2026-05-27,0.25
12,Promo 12,60,2026-06-04,2026-06-10,0.25
