sales_date,branch_id,sku_id,channel,promotion_id,units_sold,orders,customers,gross_sales,discount_value,net_sales,cost_value
2026-01-01,1,1001,Store,0,1,1,1,40.44,0.0,40.44,29.0
2026-01-01,2,1001,Store,0,1,1,1,40.44,0.0,40.44,29.0
2026-01-01,3,1001,Store,0,4,2,2,161.76,0.0,161.76,116.0
2026-01-01,5,1001,Store,0,1,1,1,40.44,0.0,40.44,29.0
2026-01-01,1,1002,Store,0,1,1,1,78.32,0.0,78.32,52.82
2026-01-01,2,1002,Store,0,2,2,2,156.64,0.0,156.64,105.64
2026-01-01,3,1002,Store,0,3,2,2,234.96,0.0,234.96,158.46
2026-01-01,4,1002,Store,0,1,1,1,78.32,0.0,78.32,52.82
2026-01-01,5,1002,Store,0,1,1,1,78.32,0.0,78.32,52.82
2026-01-01,6,1002,Store,0,1,1,1,78.32,0.0,78.32,52.82
2026-01-01,7,1002,Store,0,1,1,1,78.32,0.0,78.32,52.82
2026-01-01,8,1002,E-commerce,0,3,2,2,234.96,0.0,234.96,158.46
2026-01-01,1,1003,Store,0,1,1,1,40.55,0.0,40.55,23.69
2026-01-01,4,1003,Store,0,1,1,1,40.55,0.0,40.55,23.69
2026-01-01,5,1003,Store,0,1,1,1,40.55,0.0,40.55,23.69
2026-01-01,6,1003,Store,0,2,1,1,81.1,0.0,81.1,47.38
2026-01-01,1,1004,Store,0,1,1,1,56.93,0.0,56.93,36.35
2026-01-01,2,1004,Store,0,1,1,1,56.93,0.0,56.93,36.35
2026-01-01,3,1004,Store,0,1,1,1,56.93,0.0,56.93,36.35
2026-01-01,4,1004,Store,0,2,2,2,113.86,0.0,113.86,72.7
2026-01-01,7,1004,Store,0,2,2,2,113.86,0.0,113.86,72.7
2026-01-01,4,1005,Store,0,2,1,1,230.92,0.0,230.92,143.44
2026-01-01,5,1005,Store,0,1,1,1,115.46,0.0,115.46,71.72
2026-01-01,6,1005,Store,0,1,1,1,115.46,0.0,115.46,71.72
2026-01-01,7,1005,Store,0,2,1,1,230.92,0.0,230.92,143.44
2026-01-01,1,1006,Store,0,1,1,1,83.76,0.0,83.76,53.18
