activity_date,sku_id,product_detail_views,add_to_cart,online_orders
2026-01-01,1001,24,4,0
2026-01-01,1002,18,2,0
2026-01-01,1003,25,4,2
2026-01-01,1004,27,3,0
2026-01-01,1005,26,2,1
2026-01-01,1006,27,1,0
2026-01-01,1007,14,3,0
2026-01-01,1008,22,1,1
2026-01-01,1009,26,6,0
2026-01-01,1010,21,3,1
2026-01-01,1011,21,2,0
2026-01-01,1012,26,1,0
2026-01-01,1013,22,2,1
2026-01-01,1014,34,5,3
2026-01-01,1015,16,0,0
2026-01-01,1016,17,0,0
2026-01-01,1017,28,1,0
2026-01-01,1018,21,4,2
2026-01-01,1019,28,2,1
2026-01-01,1020,23,5,3
2026-01-01,1021,12,0,0
2026-01-01,1022,14,0,0
2026-01-01,1023,24,3,2
2026-01-01,1024,14,0,0
2026-01-01,1025,27,1,1
2026-01-01,1026,17,1,1
2026-01-01,1027,21,1,0
2026-01-01,1028,13,1,0
2026-01-01,1029,28,3,0
2026-01-01,1030,23,0,0
2026-01-01,1031,14,0,0
2026-01-01,1032,20,1,0
2026-01-01,1033,27,1,1
2026-01-01,1034,17,1,0
2026-01-01,1035,27,4,0
2026-01-01,1036,24,3,1
2026-01-01,1037,23,3,1
2026-01-01,1038,24,4,1
2026-01-01,1039,30,1,0
2026-01-01,1040,30,3,1
2026-01-01,1041,15,1,0
2026-01-01,1042,18,2,1
2026-01-01,1043,17,0,0
2026-01-01,1044,13,2,0
2026-01-01,1045,18,1,1
2026-01-01,1046,20,1,0
2026-01-01,1047,15,2,1
2026-01-01,1048,13,2,1
2026-01-01,1049,22,6,2
2026-01-01,1050,14,2,0
2026-01-01,1051,17,2,1
2026-01-01,1052,11,0,0
2026-01-01,1053,10,1,0
2026-01-01,1054,14,2,1
2026-01-01,1055,10,0,0
2026-01-01,1056,10,0,0
2026-01-01,1057,14,0,0
2026-01-01,1058,16,3,1
2026-01-01,1059,13,0,0
2026-01-01,1060,22,0,0
2026-01-02,1001,22,2,1
2026-01-02,1002,28,4,2
2026-01-02,1003,28,2,0
2026-01-02,1004,36,2,1
2026-01-02,1005,27,2,0
2026-01-02,1006,24,2,2
2026-01-02,1007,22,0,0
2026-01-02,1008,29,1,0
2026-01-02,1009,26,2,1
2026-01-02,1010,22,2,1
2026-01-02,1011,20,1,0
2026-01-02,1012,21,1,0
2026-01-02,1013,33,3,0
2026-01-02,1014,24,3,0
